Site, SiteNumber, Seconds, DateTime, Latitude, Longitude, Hsig, Hmax, Tp, Tz, SST, Direction, Current Speed, Current Direction
Caloundra,54,1742220000,2025-03-18T00:00:00,-26.84633,153.15544,1.379,3.05,7.14,4.444,26.3,106.9,-99.9,-99.9
Caloundra,54,1742221800,2025-03-18T00:30:00,-26.84626,153.15559,1.458,2.75,7.69,4.545,26.3,98.4,-99.9,-99.9
Caloundra,54,1742223600,2025-03-18T01:00:00,-26.84623,153.15568,1.402,2.04,7.69,4.819,26.3,95.6,-99.9,-99.9
Caloundra,54,1742225400,2025-03-18T01:30:00,-26.84621,153.15574,1.536,2.55,4.55,4.444,26.35,137.8,-99.9,-99.9
Caloundra,54,1742227200,2025-03-18T02:00:00,-26.8462,153.15581,1.492,2.48,8.33,4.706,26.3,94.2,-99.9,-99.9
Caloundra,54,1742229000,2025-03-18T02:30:00,-26.8462,153.15581,1.359,2.48,8.33,4.762,26.15,85.8,-99.9,-99.9
Caloundra,54,1742230800,2025-03-18T03:00:00,-26.8462,153.15587,1.349,2.29,7.14,4.598,26.15,104.1,-99.9,-99.9
Caloundra,54,1742232600,2025-03-18T03:30:00,-26.84619,153.15587,1.373,2.23,7.69,4.762,26.05,94.2,-99.9,-99.9
Caloundra,54,1742236200,2025-03-18T04:30:00,-26.84619,153.15583,1.297,2.15,8.33,5.0,26.05,84.4,-99.9,-99.9
Caloundra,54,1742238000,2025-03-18T05:00:00,-26.84619,153.15581,1.29,2.71,8.33,4.819,26.05,80.2,-99.9,-99.9
Caloundra,54,1742239800,2025-03-18T05:30:00,-26.84619,153.15579,1.313,2.09,8.33,4.651,26.05,83.0,-99.9,-99.9
Caloundra,54,1742241600,2025-03-18T06:00:00,-26.84621,153.15574,1.244,2.03,8.33,4.494,26.1,87.2,-99.9,-99.9
Caloundra,54,1742243400,2025-03-18T06:30:00,-26.84621,153.15566,1.297,2.19,7.69,4.348,26.1,81.6,-99.9,-99.9
Caloundra,54,1742245200,2025-03-18T07:00:00,-26.84624,153.15557,1.397,2.85,7.69,4.396,26.0,95.6,-99.9,-99.9
Caloundra,54,1742248800,2025-03-18T08:00:00,-26.84656,153.15529,1.336,2.2,7.69,4.545,26.0,97.0,-99.9,-99.9
Caloundra,54,1742252400,2025-03-18T09:00:00,-26.84683,153.15534,1.336,2.13,7.69,4.444,26.1,92.8,-99.9,-99.9
Caloundra,54,1742254200,2025-03-18T09:30:00,-26.84688,153.15536,1.222,2.32,4.55,4.444,26.15,122.3,-99.9,-99.9
Caloundra,54,1742256000,2025-03-18T10:00:00,-26.84687,153.15534,1.275,2.04,4.55,4.348,26.1,128.0,-99.9,-99.9
Caloundra,54,1742257800,2025-03-18T10:30:00,-26.84677,153.15529,1.306,2.16,4.35,4.348,26.1,126.6,-99.9,-99.9
Caloundra,54,1742259600,2025-03-18T11:00:00,-26.84671,153.15531,1.379,2.08,4.55,4.301,26.15,133.6,-99.9,-99.9
Caloundra,54,1742261400,2025-03-18T11:30:00,-26.84653,153.15534,1.386,2.84,7.69,4.396,26.15,88.6,-99.9,-99.9
Caloundra,54,1742263200,2025-03-18T12:00:00,-26.8464,153.15542,1.388,2.4,4.35,4.396,26.2,132.2,-99.9,-99.9
Caloundra,54,1742265000,2025-03-18T12:30:00,-26.84629,153.15555,1.323,2.38,4.35,4.348,26.15,140.6,-99.9,-99.9
Caloundra,54,1742268600,2025-03-18T13:30:00,-26.84621,153.15581,1.283,2.3,7.69,4.598,25.95,91.4,-99.9,-99.9
Caloundra,54,1742270400,2025-03-18T14:00:00,-26.84622,153.15587,1.285,2.45,7.69,4.348,25.95,73.1,-99.9,-99.9
Caloundra,54,1742272200,2025-03-18T14:30:00,-26.84621,153.15587,1.302,2.11,7.69,4.396,25.95,75.9,-99.9,-99.9
Caloundra,54,1742274000,2025-03-18T15:00:00,-26.84624,153.15583,1.238,2.39,7.14,4.545,25.95,97.0,-99.9,-99.9
Caloundra,54,1742275800,2025-03-18T15:30:00,-26.84619,153.15583,1.245,2.02,7.14,4.651,25.95,92.8,-99.9,-99.9
Caloundra,54,1742277600,2025-03-18T16:00:00,-26.84619,153.15583,1.227,1.88,7.69,4.706,25.9,97.0,-99.9,-99.9
Caloundra,54,1742279400,2025-03-18T16:30:00,-26.8462,153.15581,1.132,1.92,7.14,4.819,25.85,94.2,-99.9,-99.9
Caloundra,54,1742281200,2025-03-18T17:00:00,-26.84621,153.15577,1.105,1.66,7.14,4.706,25.85,94.2,-99.9,-99.9
Caloundra,54,1742283000,2025-03-18T17:30:00,-26.8462,153.15568,1.046,2.01,7.69,4.651,25.75,91.4,-99.9,-99.9
Caloundra,54,1742284800,2025-03-18T18:00:00,-26.84621,153.15566,1.162,1.85,7.69,4.651,25.8,80.2,-99.9,-99.9
Caloundra,54,1742286600,2025-03-18T18:30:00,-26.84622,153.15564,1.084,1.59,7.14,4.494,25.8,99.8,-99.9,-99.9
Caloundra,54,1742288400,2025-03-18T19:00:00,-26.84626,153.15555,1.146,2.07,7.14,4.348,25.8,92.8,-99.9,-99.9
Caloundra,54,1742290200,2025-03-18T19:30:00,-26.84634,153.15544,1.065,1.71,7.69,4.494,25.75,95.6,-99.9,-99.9
Caloundra,54,1742292000,2025-03-18T20:00:00,-26.84657,153.15531,1.095,1.87,7.69,4.301,25.75,91.4,-99.9,-99.9
Caloundra,54,1742293800,2025-03-18T20:30:00,-26.84684,153.15534,1.01,1.78,7.14,4.444,25.8,94.2,-99.9,-99.9
Caloundra,54,1742295600,2025-03-18T21:00:00,-26.84688,153.15531,1.026,1.61,7.69,4.348,25.8,87.2,-99.9,-99.9
Caloundra,54,1742297400,2025-03-18T21:30:00,-26.84696,153.15536,1.018,1.62,7.14,4.255,25.75,90.0,-99.9,-99.9
