Site, SiteNumber, Seconds, DateTime, Latitude, Longitude, Hsig, Hmax, Tp, Tz, SST, Direction, Current Speed, Current Direction
Caloundra,54,1742911200,2025-03-26T00:00:00,-26.8462,153.15577,1.394,2.36,7.69,4.938,26.0,84.4,-99.9,-99.9
Caloundra,54,1742913000,2025-03-26T00:30:00,-26.84621,153.15574,1.447,2.82,7.14,4.819,26.05,84.4,-99.9,-99.9
Caloundra,54,1742914800,2025-03-26T01:00:00,-26.84621,153.15572,1.452,2.3,7.14,4.878,26.0,85.8,-99.9,-99.9
Caloundra,54,1742916600,2025-03-26T01:30:00,-26.84623,153.15562,1.457,2.71,7.14,4.938,26.05,88.6,-99.9,-99.9
Caloundra,54,1742918400,2025-03-26T02:00:00,-26.84624,153.15559,1.458,2.54,7.14,5.0,26.0,94.2,-99.9,-99.9
Caloundra,54,1742920200,2025-03-26T02:30:00,-26.84638,153.1554,1.421,2.58,7.69,4.878,25.95,94.2,-99.9,-99.9
Caloundra,54,1742922000,2025-03-26T03:00:00,-26.84665,153.15529,1.452,2.29,7.69,4.938,25.95,92.8,-99.9,-99.9
Caloundra,54,1742923800,2025-03-26T03:30:00,-26.84693,153.15534,1.293,2.17,7.14,5.0,25.95,88.6,-99.9,-99.9
Caloundra,54,1742925600,2025-03-26T04:00:00,-26.84699,153.1554,1.291,2.44,7.69,4.819,26.0,87.2,-99.9,-99.9
Caloundra,54,1742927400,2025-03-26T04:30:00,-26.84699,153.1554,1.408,2.44,7.14,4.651,26.05,85.8,-99.9,-99.9
Caloundra,54,1742929200,2025-03-26T05:00:00,-26.84701,153.15542,1.322,2.15,7.14,5.0,26.05,83.0,-99.9,-99.9
Caloundra,54,1742931000,2025-03-26T05:30:00,-26.84696,153.15538,1.347,2.3,6.67,4.762,26.05,90.0,-99.9,-99.9
Caloundra,54,1742932800,2025-03-26T06:00:00,-26.84698,153.1554,1.479,2.48,7.69,4.651,26.0,83.0,-99.9,-99.9
Caloundra,54,1742934600,2025-03-26T06:30:00,-26.84692,153.15536,1.348,2.05,7.14,4.938,26.0,91.4,-99.9,-99.9
Caloundra,54,1742936400,2025-03-26T07:00:00,-26.84678,153.15531,1.317,2.26,7.14,4.706,26.0,83.0,-99.9,-99.9
Caloundra,54,1742938200,2025-03-26T07:30:00,-26.84653,153.15534,1.511,3.18,7.69,4.598,26.0,90.0,-99.9,-99.9
Caloundra,54,1742940000,2025-03-26T08:00:00,-26.84635,153.15549,1.432,2.14,7.69,5.063,25.95,83.0,-99.9,-99.9
Caloundra,54,1742941800,2025-03-26T08:30:00,-26.84629,153.15557,1.495,2.35,7.69,4.762,25.9,95.6,-99.9,-99.9
Caloundra,54,1742943600,2025-03-26T09:00:00,-26.84626,153.15568,1.576,2.21,7.69,4.878,25.95,88.6,-99.9,-99.9
Caloundra,54,1742945400,2025-03-26T09:30:00,-26.84623,153.15579,1.45,2.73,7.69,5.0,25.9,85.8,-99.9,-99.9
Caloundra,54,1742947200,2025-03-26T10:00:00,-26.84622,153.15587,1.458,2.35,7.69,5.0,25.9,78.8,-99.9,-99.9
Caloundra,54,1742949000,2025-03-26T10:30:00,-26.84624,153.15587,1.554,2.73,7.14,5.0,25.85,83.0,-99.9,-99.9
Caloundra,54,1742950800,2025-03-26T11:00:00,-26.84622,153.15587,1.463,2.53,7.69,5.263,25.85,90.0,-99.9,-99.9
Caloundra,54,1742952600,2025-03-26T11:30:00,-26.84622,153.15585,1.454,2.45,7.69,5.263,25.85,84.4,-99.9,-99.9
